p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
35024,Noir,59.06$,Crepe Abaya With black pins from side,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Crepe-Abaya-With-black-pins-from-side_2-scaled.webp,https://abayanoir.com/product/crepe-abaya-with-black-pins-from-side/?v=3d9975706be3
35114,Noir,62.66$,Silk Abaya Freesize  with embriodery,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Silk-Abaya-Freesize-dark-blue-with-embriodery_1-scaled.webp,https://abayanoir.com/product/silk-abaya-freesize-dark-blue-with-embriodery/?v=3d9975706be3
34966,Noir,46.36$,Silk Abaya riviere cafe,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Silk-Abaya-riviere-cafe-2.webp,https://abayanoir.com/product/silk-abaya-riviere-cafe/?v=3d9975706be3
34965,Noir,46.36$,Silk Abaya riviere dark blue,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Silk-Abaya-riviere-dark-blue_2-scaled.webp,https://abayanoir.com/product/silk-abaya-riviere-dark-blue/?v=3d9975706be3
34996,Noir,35.14$,Silk open Abaya cafe,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Silk-open-Abaya-cafe-3.webp,https://abayanoir.com/product/silk-open-abaya-cafe/?v=3d9975706be3
34439,Noir,42.13$,Abaya Crepe with Attached Vest and pockets,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Crepe-with-Attached-Vest-and-pockets_2-scaled.webp,https://abayanoir.com/product/abaya-crepe-with-attached-vest-and-pockets/?v=3d9975706be3
34441,Noir,44.24$,Abaya Crepe with Satin side and sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Crepe-with-Satin-side-and-sleeves_3-scaled.webp,https://abayanoir.com/product/abaya-crepe-with-satin-side-and-sleeves/?v=3d9975706be3
34469,Noir,61.18$,Abaya Crepe with Satin strips,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Crepe-with-Satin-strips_1-scaled.webp,https://abayanoir.com/product/abaya-crepe-with-satin-strips/?v=3d9975706be3
34500,Noir,43.18$,Abaya Croisee Capitonee,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Croisee-Capitonee_3-scaled.webp,https://abayanoir.com/product/abaya-croisee-capitonee/?v=3d9975706be3
39658,Noir,69.01$,Abaya with satin on Sides,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/05/0E1A0401-new-scaled.jpg,https://abayanoir.com/product/abaya-with-satin-on-sides/?v=3d9975706be3
38161,Noir,48.48$,Chiffon Chemise Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/02/Chiffon-Chemise-Abaya-1.jpg,https://abayanoir.com/product/chiffon-chemise-abaya/?v=3d9975706be3
33711,Noir,59.06$,2 Layers Crepe Abaya With Satin Belt,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Layers-Crepe-Abaya-With-Satin-Belt_3-scaled-1.jpg,https://abayanoir.com/product/2-layers-crepe-abaya-with-satin-belt/?v=3d9975706be3
34642,Noir,46.36$,Abaya black color with multicuts,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-black-color-with-multicuts_1.webp,https://abayanoir.com/product/abaya-black-color-with-multicuts/?v=3d9975706be3
33520,Noir,63.29$,3 Layers Abaya with long Zipper,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/3-Layers-Abaya-with-long-Zipper_1.webp,https://abayanoir.com/product/3-layers-abaya-with-long-zipper/?v=3d9975706be3
34703,Noir,62.66$,Abaya Freesize With Colored Embroidery,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Freesize-with-Gray-Embroidery.jpeg,https://abayanoir.com/product/abaya-freesize-with-colored-embroidery/?v=3d9975706be3
34669,Noir,43.18$,Abaya with cotton sleeves and golden zipper,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-with-cotton-sleeves-and-golden-zipper_3.webp,https://abayanoir.com/product/abaya-with-cotton-sleeves-and-golden-zipper/?v=3d9975706be3
33833,Noir,44.24$,Abaya With diagonal satin strips,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-With-diagonal-satin-strips_1.jpg,https://abayanoir.com/product/abaya-with-diagonal-satin-strips/?v=3d9975706be3
34699,Noir,56.94$,Abaya With front bottons,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-With-front-bottons_4.webp,https://abayanoir.com/product/abaya-with-front-bottons/?v=3d9975706be3
33187,Noir,56.94$,Abaya With Pockets,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Noir-664.webp,https://abayanoir.com/product/abaya-with-pockets/?v=3d9975706be3
34671,Noir,46.36$,Abaya with satin Half collar,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-with-satin-Half-collar_3.webp,https://abayanoir.com/product/abaya-with-satin-half-collar/?v=3d9975706be3
34290,Noir,55.88$,Abaya With Satin in back,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-With-Satin-in-back_1.webp,https://abayanoir.com/product/abaya-with-satin-in-back/?v=3d9975706be3
34619,Noir,35.14$,Black Abaya Code,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Black-Abaya-Code_1.webp,https://abayanoir.com/product/black-abaya-code/?v=3d9975706be3
33521,Noir,44.24$,Casual Abaya with Reglan Cut,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Casual-Abaya-with-Reglan-Cut_1.webp,https://abayanoir.com/product/casual-abaya-with-reglan-cut/?v=3d9975706be3
33653,Noir,44.24$,Chemise Abaya with Lycra Sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Chemise-Abaya-with-Lycra-Sleeves_1-scaled.webp,https://abayanoir.com/product/chemise-abaya-with-lycra-sleeves/?v=3d9975706be3
32922,Noir,53.34$,Chemise Abaya with touch of Satin,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Chemise-Abaya-with-touch-of-Satin_1.webp,https://abayanoir.com/product/chemise-abaya-with-touch-of-satin/?v=3d9975706be3
32746,Noir,46.36$,Chiffon Scarve Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Chiffon-Scarve-Abaya_1.webp,https://abayanoir.com/product/chiffon-scarve-abaya/?v=3d9975706be3
